group_col,group_a,group_b,test,statistic,p_value,significance,odds_ratio,n_a,n_b,success_rate_a,success_rate_b,p_value_holm,significance_holm
framework,autogen,crewai,Chi-square,68.57142857142857,1.223641805540555e-16,***,0.0062026425662789295,240,240,0.75,1.0,2.44728361108111e-16,***
framework,autogen,langgraph,Chi-square,25.386831353203668,4.6910951846554926e-07,***,2.655874250526657,240,240,0.75,0.5291666666666667,4.6910951846554926e-07,***
framework,crewai,langgraph,Chi-square,147.79291553133515,5.26500760590651e-34,***,428.1843137254902,240,240,1.0,0.5291666666666667,1.579502281771953e-33,***
