framework,n,success_rate_mean,success_rate_std,success_rate_ci_low,success_rate_ci_high,latency_seconds_mean,latency_seconds_std,latency_seconds_ci_low,latency_seconds_ci_high,token_cost_usd_mean,token_cost_usd_std,token_cost_usd_ci_low,token_cost_usd_ci_high
autogen,240,0.37916666666666665,0.4861936238664839,0.31734275129287326,0.44099058204046004,132.503826031254,72.4877918320108,123.28634787467892,141.72130418782905,0.0,0.0,0.0,0.0
crewai,240,0.4166666666666667,0.49403696664040475,0.3538453993406895,0.4794879339926439,11.435325383355181,4.524799753687587,10.859956182026115,12.010694584684247,0.0,0.0,0.0,0.0
langgraph,240,0.37916666666666665,0.48619362386648396,0.31734275129287326,0.44099058204046004,2.5905283555131366,1.2693390278968992,2.4291204209185406,2.7519362901077327,0.0,0.0,0.0,0.0
