group_col,group_a,group_b,test,statistic,p_value,significance,odds_ratio,n_a,n_b,success_rate_a,success_rate_b,p_value_holm,significance_holm
framework,autogen,crewai,Chi-square,0.7043605862425044,0.40132234180708226,ns,0.8556381969749912,240,240,0.37916666666666665,0.4166666666666667,1.0,ns
framework,autogen,langgraph,Chi-square,0.0,1.0,ns,1.0,240,240,0.37916666666666665,0.37916666666666665,1.0,ns
framework,crewai,langgraph,Chi-square,0.7043605862425044,0.40132234180708226,ns,1.1687182778134297,240,240,0.4166666666666667,0.37916666666666665,1.0,ns
